outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
40.0,31.0,178.0,953.0,39.5,38.0,40.0,23.0,25.0,22.0,171.0,158.0,138.0,874.0,737.0,554.0
39.5,23.0,171.0,874.0,38.0,40.0,40.4,25.0,22.0,22.0,158.0,138.0,109.0,737.0,554.0,345.0
38.0,25.0,158.0,737.0,40.0,40.4,41.0,22.0,22.0,23.0,138.0,109.0,63.0,554.0,345.0,146.0
40.0,22.0,138.0,554.0,40.4,41.0,38.0,22.0,23.0,21.0,109.0,63.0,17.0,345.0,146.0,28.0
40.4,22.0,109.0,345.0,41.0,38.0,35.5,23.0,21.0,30.0,63.0,17.0,0.0,146.0,28.0,0.0
41.0,23.0,63.0,146.0,38.0,35.5,35.0,21.0,30.0,32.0,17.0,0.0,0.0,28.0,0.0,0.0
38.0,21.0,17.0,28.0,35.5,35.0,34.0,30.0,32.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5,30.0,0.0,0.0,35.0,34.0,33.8,32.0,36.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,32.0,0.0,0.0,34.0,33.8,33.0,36.0,38.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,36.0,0.0,0.0,33.8,33.0,33.0,38.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
33.8,38.0,0.0,0.0,33.0,33.0,32.2,44.0,44.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,44.0,0.0,0.0,33.0,32.2,32.0,44.0,48.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,44.0,0.0,0.0,32.2,32.0,31.0,48.0,52.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
32.2,48.0,0.0,0.0,32.0,31.0,31.1,52.0,55.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,52.0,0.0,0.0,31.0,31.1,31.0,55.0,48.0,49.0,0.0,0.0,37.0,0.0,0.0,69.0
31.0,55.0,0.0,0.0,31.1,31.0,31.0,48.0,49.0,49.0,0.0,37.0,88.0,0.0,69.0,233.0
31.1,48.0,0.0,0.0,31.0,31.0,32.0,49.0,49.0,46.0,37.0,88.0,125.0,69.0,233.0,447.0
31.0,49.0,37.0,69.0,31.0,32.0,33.0,49.0,46.0,41.0,88.0,125.0,151.0,233.0,447.0,654.0
31.0,49.0,88.0,233.0,32.0,33.0,33.0,46.0,41.0,36.0,125.0,151.0,168.0,447.0,654.0,824.0
32.0,46.0,125.0,447.0,33.0,33.0,34.2,41.0,36.0,34.0,151.0,168.0,179.0,654.0,824.0,941.0
33.0,41.0,151.0,654.0,33.0,34.2,34.0,36.0,34.0,34.0,168.0,179.0,184.0,824.0,941.0,993.0
33.0,36.0,168.0,824.0,34.2,34.0,34.0,34.0,34.0,36.0,179.0,184.0,182.0,941.0,993.0,977.0
34.2,34.0,179.0,941.0,34.0,34.0,34.0,34.0,36.0,34.0,184.0,182.0,175.0,993.0,977.0,893.0
34.0,34.0,184.0,993.0,34.0,34.0,34.0,36.0,34.0,36.0,182.0,175.0,161.0,977.0,893.0,750.0
34.0,36.0,182.0,977.0,34.0,34.0,34.0,34.0,36.0,36.0,175.0,161.0,140.0,893.0,750.0,561.0
34.0,34.0,175.0,893.0,34.0,34.0,34.0,36.0,36.0,30.0,161.0,140.0,111.0,750.0,561.0,348.0
34.0,36.0,161.0,750.0,34.0,34.0,33.0,36.0,30.0,36.0,140.0,111.0,64.0,561.0,348.0,148.0
34.0,36.0,140.0,561.0,34.0,33.0,33.0,30.0,36.0,41.0,111.0,64.0,18.0,348.0,148.0,29.0
34.0,30.0,111.0,348.0,33.0,33.0,32.0,36.0,41.0,46.0,64.0,18.0,0.0,148.0,29.0,0.0
33.0,36.0,64.0,148.0,33.0,32.0,31.0,41.0,46.0,49.0,18.0,0.0,0.0,29.0,0.0,0.0
33.0,41.0,18.0,29.0,32.0,31.0,31.0,46.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,46.0,0.0,0.0,31.0,31.0,31.0,49.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,49.0,0.0,0.0,31.0,31.0,31.0,46.0,46.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,46.0,0.0,0.0,31.0,31.0,31.0,46.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,46.0,0.0,0.0,31.0,31.0,30.5,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,43.0,0.0,0.0,31.0,30.5,31.0,43.0,43.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,43.0,0.0,0.0,30.5,31.0,31.0,43.0,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
30.5,43.0,0.0,0.0,31.0,31.0,29.0,40.0,43.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,40.0,0.0,0.0,31.0,29.0,28.0,43.0,47.0,51.0,0.0,0.0,37.0,0.0,0.0,68.0
31.0,43.0,0.0,0.0,29.0,28.0,29.0,47.0,51.0,48.0,0.0,37.0,88.0,0.0,68.0,229.0
29.0,47.0,0.0,0.0,28.0,29.0,31.2,51.0,48.0,48.0,37.0,88.0,125.0,68.0,229.0,438.0
28.0,51.0,37.0,68.0,29.0,31.2,32.0,48.0,48.0,43.0,88.0,125.0,150.0,229.0,438.0,640.0
29.0,48.0,88.0,229.0,31.2,32.0,33.0,48.0,43.0,41.0,125.0,150.0,167.0,438.0,640.0,806.0
31.2,48.0,125.0,438.0,32.0,33.0,32.9,43.0,41.0,43.0,150.0,167.0,178.0,640.0,806.0,919.0
32.0,43.0,150.0,640.0,33.0,32.9,34.0,41.0,43.0,36.0,167.0,178.0,182.0,806.0,919.0,970.0
33.0,41.0,167.0,806.0,32.9,34.0,34.0,43.0,36.0,39.0,178.0,182.0,181.0,919.0,970.0,955.0
32.9,43.0,178.0,919.0,34.0,34.0,33.9,36.0,39.0,39.0,182.0,181.0,174.0,970.0,955.0,873.0
34.0,36.0,182.0,970.0,34.0,33.9,34.0,39.0,39.0,41.0,181.0,174.0,160.0,955.0,873.0,733.0
34.0,39.0,181.0,955.0,33.9,34.0,34.0,39.0,41.0,34.0,174.0,160.0,139.0,873.0,733.0,549.0
33.9,39.0,174.0,873.0,34.0,34.0,33.9,41.0,34.0,40.0,160.0,139.0,110.0,733.0,549.0,340.0
34.0,41.0,160.0,733.0,34.0,33.9,34.0,34.0,40.0,39.0,139.0,110.0,64.0,549.0,340.0,145.0
34.0,34.0,139.0,549.0,33.9,34.0,34.0,40.0,39.0,39.0,110.0,64.0,18.0,340.0,145.0,28.0
33.9,40.0,110.0,340.0,34.0,34.0,33.1,39.0,39.0,41.0,64.0,18.0,0.0,145.0,28.0,0.0
34.0,39.0,64.0,145.0,34.0,33.1,33.0,39.0,41.0,41.0,18.0,0.0,0.0,28.0,0.0,0.0
34.0,39.0,18.0,28.0,33.1,33.0,33.0,41.0,41.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
33.1,41.0,0.0,0.0,33.0,33.0,32.0,41.0,55.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,41.0,0.0,0.0,33.0,32.0,32.0,55.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,55.0,0.0,0.0,32.0,32.0,32.0,46.0,46.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,46.0,0.0,0.0,32.0,32.0,31.0,46.0,58.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,46.0,0.0,0.0,32.0,31.0,30.0,58.0,46.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,58.0,0.0,0.0,31.0,30.0,28.0,46.0,49.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,46.0,0.0,0.0,30.0,28.0,27.7,49.0,58.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,49.0,0.0,0.0,28.0,27.7,27.0,58.0,57.0,54.0,0.0,0.0,37.0,0.0,0.0,67.0
28.0,58.0,0.0,0.0,27.7,27.0,27.0,57.0,54.0,51.0,0.0,37.0,88.0,0.0,67.0,226.0
27.7,57.0,0.0,0.0,27.0,27.0,27.2,54.0,51.0,51.0,37.0,88.0,125.0,67.0,226.0,434.0
27.0,54.0,37.0,67.0,27.0,27.2,30.0,51.0,51.0,46.0,88.0,125.0,151.0,226.0,434.0,636.0
27.0,51.0,88.0,226.0,27.2,30.0,31.0,51.0,46.0,43.0,125.0,151.0,168.0,434.0,636.0,802.0
27.2,51.0,125.0,434.0,30.0,31.0,32.7,46.0,43.0,42.0,151.0,168.0,179.0,636.0,802.0,916.0
30.0,46.0,151.0,636.0,31.0,32.7,35.0,43.0,42.0,34.0,168.0,179.0,183.0,802.0,916.0,969.0
31.0,43.0,168.0,802.0,32.7,35.0,35.0,42.0,34.0,44.0,179.0,183.0,182.0,916.0,969.0,954.0
32.7,42.0,179.0,916.0,35.0,35.0,35.0,34.0,44.0,44.0,183.0,182.0,174.0,969.0,954.0,874.0
35.0,34.0,183.0,969.0,35.0,35.0,36.0,44.0,44.0,31.0,182.0,174.0,161.0,954.0,874.0,734.0
35.0,44.0,182.0,954.0,35.0,36.0,37.0,44.0,31.0,42.0,174.0,161.0,140.0,874.0,734.0,550.0
35.0,44.0,174.0,874.0,36.0,37.0,34.8,31.0,42.0,49.0,161.0,140.0,111.0,734.0,550.0,341.0
36.0,31.0,161.0,734.0,37.0,34.8,33.0,42.0,49.0,49.0,140.0,111.0,65.0,550.0,341.0,146.0
37.0,42.0,140.0,550.0,34.8,33.0,32.0,49.0,49.0,56.0,111.0,65.0,18.0,341.0,146.0,29.0
34.8,49.0,111.0,341.0,33.0,32.0,31.6,49.0,56.0,54.0,65.0,18.0,0.0,146.0,29.0,0.0
33.0,49.0,65.0,146.0,32.0,31.6,31.0,56.0,54.0,59.0,18.0,0.0,0.0,29.0,0.0,0.0
32.0,56.0,18.0,29.0,31.6,31.0,31.0,54.0,59.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
31.6,54.0,0.0,0.0,31.0,31.0,30.2,59.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,59.0,0.0,0.0,31.0,30.2,31.0,66.0,67.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,66.0,0.0,0.0,30.2,31.0,30.0,67.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
30.2,67.0,0.0,0.0,31.0,30.0,29.3,66.0,66.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,66.0,0.0,0.0,30.0,29.3,29.0,66.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,66.0,0.0,0.0,29.3,29.0,28.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
29.3,70.0,0.0,0.0,29.0,28.0,27.5,70.0,70.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,70.0,0.0,0.0,28.0,27.5,27.0,70.0,71.0,70.0,0.0,0.0,37.0,0.0,0.0,66.0
28.0,70.0,0.0,0.0,27.5,27.0,27.0,71.0,70.0,66.0,0.0,37.0,91.0,0.0,66.0,219.0
27.5,71.0,0.0,0.0,27.0,27.0,27.8,70.0,66.0,64.0,37.0,91.0,129.0,66.0,219.0,426.0
27.0,70.0,37.0,66.0,27.0,27.8,30.0,66.0,64.0,52.0,91.0,129.0,151.0,219.0,426.0,631.0
27.0,66.0,91.0,219.0,27.8,30.0,33.0,64.0,52.0,36.0,129.0,151.0,168.0,426.0,631.0,795.0
27.8,64.0,129.0,426.0,30.0,33.0,34.6,52.0,36.0,41.0,151.0,168.0,179.0,631.0,795.0,907.0
30.0,52.0,151.0,631.0,33.0,34.6,37.0,36.0,41.0,31.0,168.0,179.0,183.0,795.0,907.0,957.0
33.0,36.0,168.0,795.0,34.6,37.0,35.0,41.0,31.0,40.0,179.0,183.0,181.0,907.0,957.0,940.0
34.6,41.0,179.0,907.0,37.0,35.0,34.0,31.0,40.0,41.0,183.0,181.0,174.0,957.0,940.0,859.0
37.0,31.0,183.0,957.0,35.0,34.0,34.0,40.0,41.0,41.0,181.0,174.0,160.0,940.0,859.0,721.0
35.0,40.0,181.0,940.0,34.0,34.0,34.0,41.0,41.0,53.0,174.0,160.0,139.0,859.0,721.0,539.0
34.0,41.0,174.0,859.0,34.0,34.0,35.0,41.0,53.0,42.0,160.0,139.0,110.0,721.0,539.0,334.0
34.0,41.0,160.0,721.0,34.0,35.0,35.0,53.0,42.0,50.0,139.0,110.0,64.0,539.0,334.0,143.0
34.0,53.0,139.0,539.0,35.0,35.0,35.0,42.0,50.0,50.0,110.0,64.0,18.0,334.0,143.0,28.0
35.0,42.0,110.0,334.0,35.0,35.0,33.5,50.0,50.0,56.0,64.0,18.0,0.0,143.0,28.0,0.0
35.0,50.0,64.0,143.0,35.0,33.5,33.0,50.0,56.0,59.0,18.0,0.0,0.0,28.0,0.0,0.0
35.0,50.0,18.0,28.0,33.5,33.0,33.0,56.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,56.0,0.0,0.0,33.0,33.0,33.4,59.0,59.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,59.0,0.0,0.0,33.0,33.4,33.0,59.0,53.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,59.0,0.0,0.0,33.4,33.0,32.0,53.0,49.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
33.4,53.0,0.0,0.0,33.0,32.0,30.8,49.0,71.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,49.0,0.0,0.0,32.0,30.8,31.0,71.0,74.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,71.0,0.0,0.0,30.8,31.0,30.0,74.0,70.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
30.8,74.0,0.0,0.0,31.0,30.0,30.6,70.0,79.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,70.0,0.0,0.0,30.0,30.6,30.0,79.0,70.0,75.0,0.0,0.0,37.0,0.0,0.0,67.0
30.0,79.0,0.0,0.0,30.6,30.0,30.0,70.0,75.0,75.0,0.0,37.0,88.0,0.0,67.0,225.0
30.6,70.0,0.0,0.0,30.0,30.0,30.3,75.0,75.0,72.0,37.0,88.0,125.0,67.0,225.0,431.0
30.0,75.0,37.0,67.0,30.0,30.3,32.0,75.0,72.0,59.0,88.0,125.0,151.0,225.0,431.0,631.0
30.0,75.0,88.0,225.0,30.3,32.0,35.0,72.0,59.0,42.0,125.0,151.0,168.0,431.0,631.0,792.0
30.3,72.0,125.0,431.0,32.0,35.0,36.4,59.0,42.0,36.0,151.0,168.0,178.0,631.0,792.0,902.0
32.0,59.0,151.0,631.0,35.0,36.4,38.0,42.0,36.0,29.0,168.0,178.0,183.0,792.0,902.0,953.0
35.0,42.0,168.0,792.0,36.4,38.0,40.0,36.0,29.0,33.0,178.0,183.0,182.0,902.0,953.0,938.0
36.4,36.0,178.0,902.0,38.0,40.0,38.5,29.0,33.0,37.0,183.0,182.0,174.0,953.0,938.0,858.0
38.0,29.0,183.0,953.0,40.0,38.5,38.0,33.0,37.0,42.0,182.0,174.0,161.0,938.0,858.0,721.0
40.0,33.0,182.0,938.0,38.5,38.0,36.0,37.0,42.0,50.0,174.0,161.0,140.0,858.0,721.0,540.0
38.5,37.0,174.0,858.0,38.0,36.0,34.5,42.0,50.0,46.0,161.0,140.0,110.0,721.0,540.0,335.0
38.0,42.0,161.0,721.0,36.0,34.5,34.0,50.0,46.0,56.0,140.0,110.0,64.0,540.0,335.0,143.0
36.0,50.0,140.0,540.0,34.5,34.0,34.0,46.0,56.0,50.0,110.0,64.0,18.0,335.0,143.0,28.0
34.5,46.0,110.0,335.0,34.0,34.0,33.6,56.0,50.0,47.0,64.0,18.0,0.0,143.0,28.0,0.0
34.0,56.0,64.0,143.0,34.0,33.6,33.0,50.0,47.0,53.0,18.0,0.0,0.0,28.0,0.0,0.0
34.0,50.0,18.0,28.0,33.6,33.0,34.0,47.0,53.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
33.6,47.0,0.0,0.0,33.0,34.0,33.5,53.0,64.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,53.0,0.0,0.0,34.0,33.5,34.0,64.0,66.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,64.0,0.0,0.0,33.5,34.0,33.0,66.0,68.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
33.5,66.0,0.0,0.0,34.0,33.0,32.0,68.0,72.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,68.0,0.0,0.0,33.0,32.0,32.0,72.0,76.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,72.0,0.0,0.0,32.0,32.0,32.0,76.0,79.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,76.0,0.0,0.0,32.0,32.0,32.0,79.0,81.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,79.0,0.0,0.0,32.0,32.0,32.0,81.0,83.0,84.0,0.0,0.0,36.0,0.0,0.0,65.0
32.0,81.0,0.0,0.0,32.0,32.0,32.0,83.0,84.0,84.0,0.0,36.0,86.0,0.0,65.0,217.0
32.0,83.0,0.0,0.0,32.0,32.0,32.0,84.0,84.0,79.0,36.0,86.0,124.0,65.0,217.0,418.0
32.0,84.0,36.0,65.0,32.0,32.0,34.0,84.0,79.0,66.0,86.0,124.0,150.0,217.0,418.0,616.0
32.0,84.0,86.0,217.0,32.0,34.0,36.0,79.0,66.0,48.0,124.0,150.0,168.0,418.0,616.0,782.0
32.0,79.0,124.0,418.0,34.0,36.0,36.0,66.0,48.0,35.0,150.0,168.0,179.0,616.0,782.0,898.0
34.0,66.0,150.0,616.0,36.0,36.0,39.0,48.0,35.0,29.0,168.0,179.0,184.0,782.0,898.0,951.0
36.0,48.0,168.0,782.0,36.0,39.0,40.0,35.0,29.0,30.0,179.0,184.0,182.0,898.0,951.0,937.0
36.0,35.0,179.0,898.0,39.0,40.0,41.0,29.0,30.0,27.0,184.0,182.0,175.0,951.0,937.0,858.0
39.0,29.0,184.0,951.0,40.0,41.0,39.0,30.0,27.0,33.0,182.0,175.0,164.0,937.0,858.0,719.0
40.0,30.0,182.0,937.0,41.0,39.0,39.0,27.0,33.0,33.0,175.0,164.0,143.0,858.0,719.0,537.0
41.0,27.0,175.0,858.0,39.0,39.0,34.9,33.0,33.0,42.0,164.0,143.0,110.0,719.0,537.0,333.0
39.0,33.0,164.0,719.0,39.0,34.9,35.0,33.0,42.0,44.0,143.0,110.0,64.0,537.0,333.0,143.0
39.0,33.0,143.0,537.0,34.9,35.0,36.0,42.0,44.0,52.0,110.0,64.0,18.0,333.0,143.0,29.0
34.9,42.0,110.0,333.0,35.0,36.0,34.9,44.0,52.0,56.0,64.0,18.0,0.0,143.0,29.0,0.0
35.0,44.0,64.0,143.0,36.0,34.9,33.0,52.0,56.0,53.0,18.0,0.0,0.0,29.0,0.0,0.0
36.0,52.0,18.0,29.0,34.9,33.0,33.0,56.0,53.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
34.9,56.0,0.0,0.0,33.0,33.0,33.6,53.0,64.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,53.0,0.0,0.0,33.0,33.6,33.0,64.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,64.0,0.0,0.0,33.6,33.0,33.0,66.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
33.6,66.0,0.0,0.0,33.0,33.0,32.7,67.0,69.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,67.0,0.0,0.0,33.0,32.7,33.0,69.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,69.0,0.0,0.0,32.7,33.0,33.0,71.0,71.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
32.7,71.0,0.0,0.0,33.0,33.0,32.1,71.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,71.0,0.0,0.0,33.0,32.1,30.0,74.0,74.0,55.0,0.0,0.0,36.0,0.0,0.0,65.0
33.0,74.0,0.0,0.0,32.1,30.0,30.0,74.0,55.0,55.0,0.0,36.0,87.0,0.0,65.0,221.0
32.1,74.0,0.0,0.0,30.0,30.0,31.0,55.0,55.0,67.0,36.0,87.0,126.0,65.0,221.0,426.0
30.0,55.0,36.0,65.0,30.0,31.0,33.0,55.0,67.0,52.0,87.0,126.0,152.0,221.0,426.0,627.0
30.0,55.0,87.0,221.0,31.0,33.0,36.0,67.0,52.0,39.0,126.0,152.0,171.0,426.0,627.0,796.0
31.0,67.0,126.0,426.0,33.0,36.0,38.3,52.0,39.0,30.0,152.0,171.0,182.0,627.0,796.0,913.0
33.0,52.0,152.0,627.0,36.0,38.3,40.0,39.0,30.0,25.0,171.0,182.0,187.0,796.0,913.0,966.0
36.0,39.0,171.0,796.0,38.3,40.0,40.0,30.0,25.0,19.0,182.0,187.0,186.0,913.0,966.0,952.0
38.3,30.0,182.0,913.0,40.0,40.0,41.8,25.0,19.0,18.0,187.0,186.0,178.0,966.0,952.0,872.0
40.0,25.0,187.0,966.0,40.0,41.8,41.0,19.0,18.0,28.0,186.0,178.0,164.0,952.0,872.0,734.0
40.0,19.0,186.0,952.0,41.8,41.0,38.0,18.0,28.0,29.0,178.0,164.0,143.0,872.0,734.0,550.0
41.8,18.0,178.0,872.0,41.0,38.0,38.0,28.0,29.0,32.0,164.0,143.0,113.0,734.0,550.0,343.0
41.0,28.0,164.0,734.0,38.0,38.0,36.0,29.0,32.0,39.0,143.0,113.0,67.0,550.0,343.0,148.0
38.0,29.0,143.0,550.0,38.0,36.0,35.0,32.0,39.0,32.0,113.0,67.0,19.0,343.0,148.0,30.0
38.0,32.0,113.0,343.0,36.0,35.0,35.3,39.0,32.0,45.0,67.0,19.0,0.0,148.0,30.0,0.0
36.0,39.0,67.0,148.0,35.0,35.3,34.0,32.0,45.0,41.0,19.0,0.0,0.0,30.0,0.0,0.0
35.0,32.0,19.0,30.0,35.3,34.0,33.0,45.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
35.3,45.0,0.0,0.0,34.0,33.0,34.0,41.0,41.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,41.0,0.0,0.0,33.0,34.0,34.0,41.0,61.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,41.0,0.0,0.0,34.0,34.0,34.0,61.0,63.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,61.0,0.0,0.0,34.0,34.0,32.7,63.0,64.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,63.0,0.0,0.0,34.0,32.7,33.0,64.0,61.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,64.0,0.0,0.0,32.7,33.0,32.0,61.0,63.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
32.7,61.0,0.0,0.0,33.0,32.0,30.7,63.0,58.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,63.0,0.0,0.0,32.0,30.7,30.0,58.0,43.0,40.0,0.0,0.0,37.0,0.0,0.0,67.0
32.0,58.0,0.0,0.0,30.7,30.0,30.0,43.0,40.0,35.0,0.0,37.0,89.0,0.0,67.0,224.0
30.7,43.0,0.0,0.0,30.0,30.0,30.3,40.0,35.0,34.0,37.0,89.0,128.0,67.0,224.0,431.0
30.0,40.0,37.0,67.0,30.0,30.3,32.0,35.0,34.0,43.0,89.0,128.0,154.0,224.0,431.0,633.0
30.0,35.0,89.0,224.0,30.3,32.0,34.0,34.0,43.0,39.0,128.0,154.0,173.0,431.0,633.0,801.0
30.3,34.0,128.0,431.0,32.0,34.0,35.9,43.0,39.0,27.0,154.0,173.0,184.0,633.0,801.0,918.0
32.0,43.0,154.0,633.0,34.0,35.9,38.0,39.0,27.0,21.0,173.0,184.0,189.0,801.0,918.0,969.0
34.0,39.0,173.0,801.0,35.9,38.0,38.0,27.0,21.0,26.0,184.0,189.0,187.0,918.0,969.0,953.0
35.9,27.0,184.0,918.0,38.0,38.0,38.3,21.0,26.0,21.0,189.0,187.0,179.0,969.0,953.0,871.0
38.0,21.0,189.0,969.0,38.0,38.3,39.0,26.0,21.0,31.0,187.0,179.0,165.0,953.0,871.0,731.0
38.0,26.0,187.0,953.0,38.3,39.0,38.0,21.0,31.0,24.0,179.0,165.0,143.0,871.0,731.0,546.0
38.3,21.0,179.0,871.0,39.0,38.0,37.3,31.0,24.0,34.0,165.0,143.0,113.0,731.0,546.0,339.0
39.0,31.0,165.0,731.0,38.0,37.3,35.0,24.0,34.0,37.0,143.0,113.0,67.0,546.0,339.0,146.0
38.0,24.0,143.0,546.0,37.3,35.0,36.0,34.0,37.0,37.0,113.0,67.0,19.0,339.0,146.0,30.0
37.3,34.0,113.0,339.0,35.0,36.0,35.1,37.0,37.0,47.0,67.0,19.0,0.0,146.0,30.0,0.0
35.0,37.0,67.0,146.0,36.0,35.1,34.0,37.0,47.0,41.0,19.0,0.0,0.0,30.0,0.0,0.0
36.0,37.0,19.0,30.0,35.1,34.0,33.0,47.0,41.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
35.1,47.0,0.0,0.0,34.0,33.0,32.6,41.0,53.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,41.0,0.0,0.0,33.0,32.6,32.0,53.0,60.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,53.0,0.0,0.0,32.6,32.0,31.0,60.0,56.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
32.6,60.0,0.0,0.0,32.0,31.0,30.3,56.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,56.0,0.0,0.0,31.0,30.3,30.0,66.0,67.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,66.0,0.0,0.0,30.3,30.0,29.0,67.0,66.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
30.3,67.0,0.0,0.0,30.0,29.0,29.0,66.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,66.0,0.0,0.0,29.0,29.0,29.0,74.0,74.0,70.0,0.0,0.0,37.0,0.0,0.0,65.0
29.0,74.0,0.0,0.0,29.0,29.0,28.0,74.0,70.0,74.0,0.0,37.0,89.0,0.0,65.0,220.0
29.0,74.0,0.0,0.0,29.0,28.0,29.2,70.0,74.0,68.0,37.0,89.0,129.0,65.0,220.0,423.0
29.0,70.0,37.0,65.0,28.0,29.2,31.0,74.0,68.0,63.0,89.0,129.0,155.0,220.0,423.0,624.0
28.0,74.0,89.0,220.0,29.2,31.0,32.0,68.0,63.0,56.0,129.0,155.0,173.0,423.0,624.0,791.0
29.2,68.0,129.0,423.0,31.0,32.0,34.4,63.0,56.0,49.0,155.0,173.0,184.0,624.0,791.0,904.0
31.0,63.0,155.0,624.0,32.0,34.4,36.0,56.0,49.0,47.0,173.0,184.0,189.0,791.0,904.0,958.0
32.0,56.0,173.0,791.0,34.4,36.0,37.0,49.0,47.0,48.0,184.0,189.0,188.0,904.0,958.0,946.0
